Month,BKN01 Diversion Rate,BKN02 Diversion Rate,BKN03 Diversion Rate,BKN04 Diversion Rate,BKN05 Diversion Rate,BKN08 Diversion Rate,BKN09 Diversion Rate,BKN16 Diversion Rate,BKN17 Diversion Rate,BKS06 Diversion Rate,BKS07 Diversion Rate,BKS10 Diversion Rate,BKS11 Diversion Rate,BKS12 Diversion Rate,BKS13 Diversion Rate,BKS14 Diversion Rate,BKS15 Diversion Rate,BKS18 Diversion Rate
July,16.4,18.9,11.7,14.5,9.8,15.5,12.1,9.6,13.2,28.3,21.4,24,20.9,15.7,14.4,13.7,20.4,15
August,16.2,20.1,12,14.7,9.6,15.5,12.4,9.3,13.5,27.7,23.9,23.6,20.1,15.9,14.2,13.6,19.4,14.7
September,15.3,19.9,12.1,14.5,9.9,15.9,12.5,9.3,13.5,29.6,25,23.9,20.1,16.2,14.5,14.5,19.9,15.1
October,15,19.8,11.6,14.2,9.6,16.1,12,8.7,13.3,29.7,23.7,24,20.2,15.4,14.1,14.6,19.7,15.2
November,15.1,20.2,11.6,14.3,9.9,16.6,12.4,9.3,14.3,30.2,23.7,25.8,20.6,16.4,14.8,15.8,21.3,16.9
December,16.3,21.9,12.6,15.5,10.7,17.2,13.7,10.1,15,31.2,24.2,26.4,21.1,16.7,15.5,15.6,22.3,17.3
January,17.1,22.5,13.9,17.1,11.7,19.8,14.9,10.1,15.7,31.1,22.2,26.9,20.9,16.1,15.8,16.4,20.5,17.1
February,15.9,20.6,13,15.8,10.6,17,14,9.7,14.2,29.2,20.2,24.3,18.9,15.5,14.4,15.3,19.2,15.7
March,15.7,19.7,12.3,16,10.4,16.9,14.5,9.3,14.1,30.6,20.3,24.7,19.1,15.3,14.9,15.2,19,15.4
April ,14.7,20,12.2,15.5,10.1,16.4,14,9.3,13.4,29,20.4,23.8,18.4,14.9,14.3,15,18.7,14.7
May,15.7,19.5,11.7,15,9.8,15.7,14.1,9.8,13.1,28.7,19.5,24,18.1,15.7,14.7,14.2,18.7,14.5
June,16.1,20.5,12.6,16.4,11,17.2,13.8,9.9,14,29.4,21.1,24.9,19,15.3,14.9,15.8,19.3,15.1